Nº REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disp. de rechazo nº ;fecha disposición de rechazo;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
91;"LOCOS X EL FUTBOL";VICENTE LOPEZ ;2056/69;11045/07;300 personas;CC;"BAJA INSC: Disp. Nº 003/2010";75;02/07/2007;72;18/07/2008;;;75;02/07/2007
92;JET LOUNGE;"AV.RAFAEL OBLIGADO";4801;83133/05;688 personas;C;RENOVADO 2012;81;09/08/2007;104;09/08/2012;;;109;19/12/2008
93;BLACK;AYACUCHO;1981;28278/07;210 personas;C C;RENOVADO 2012;88;31/08/2007;115;27/08/2012;;;88;31/08/2007
94;PORTO SOHO;SCALABRINI ORTIZ;1425/29;64702/07;604personas;C;RENOVADO 2011;96;16/11/2007;134;18/11/2011;;;134;18/11/2011
95;ACQUA LOUNGE;JUANA MANSO;305 PB;19740/07;214 personas;C C;RENOVADO 2011;101;06/12/2007;143;14/12/2011;;;101;06/12/2007
96;JADE RESTO;JURAMENTO ;1531/43;81882/07;238 personas;C C;RENOVADO 2012;104;21/12/2007;95;06/07/2012;;;104;21/12/2007
97;PRIVILEGE BA;"AV. RAFAEL OBLIGADO";1221;47762/07;2966 personas;C;RENOVADO 2012;526;27/02/2008;84;14/06/2012;;;526;20/02/2008
98;MAIS- UM;"AV. JUAN B. ALBERDI";2829/39;66474/07;504 personas;C;RENOVADO 2012;86;04/09/2008;118;07/09/2012;;;86;04/09/2008
99;VOX(exBED BAIRES);"AV. HIPOÍLITO IRIGOYEN";968;48523/08;532 personas;C;RENOVADO 2012;94;07/11/2008;35;09/03/2012;;;94;07/11/2008
100;MORENA;AV. RIVADAVIA ;7217;54743/08;922 personas;C;RENOVADO 2011;95;05/11/2008;127;11/11/2011;;;95;05/11/2008
101;THE SUB;AV. CÓRDOBA ;543;40833/08;415 personas;C C;RENOVADO 2011;100;14/11/2008;131;14/11/2011;;;100;14/11/2008
102;CLUB 947;CHACABUCO;947/55;36345/08;1702 personas;ART 1º;RENOVADO 2011;103;17/11/2008;136;18/11/2011;;;25;04/03/2011
103;LIQUID;AV. SANTA FÉ;3651;72590/08;576 personas;C;RENOVADO 2012;3;11/02/2009;5;10/02/2012;;;71;18/05/2012
104;MUSIK- CLUB M;NICETO VEGA;5681/99;1965/09;333 personas;C.C;RENOVADO 2012;47;01/04/2009;58;04/04/2012;;;47;01/04/2009
105;LIV (ex-HUMMER);AV. JUAN B. JUSTO ;1658;23794/09;742 personas;C;RENOVADO 2012;53;24/04/2009;78;07/06/2012;;;103;20/08/2010
106;JANNOY;AV. CORDOBA;2988;23791/09;448 personas;C;RENOVADO 2012;54;30/04/2009;65;26/04/2012;;;54;30/04/2009
107;CLUB DORADO;"AV. HIPÓLITO YRIGOYEN";947;32798/09;400 poersonas;C;RENOVADO 2012;70;19/06/2009;86;19/06/2012;;;70;19/06/2009
108;"HONDURAS HOLLYWOOD";HONDURAS;5535;48909/09;356 personas;C.C;RENOVADO 2011;83;14/08/2009;137;18/11/2011;;;83;14/08/2009
109;WET CLUB;AV. NICETO VEGA;5534/36;48222/09;272 personas;C.C;RENOVADO 2011;87;28/08/2009;116;20/10/2011;;;87;28/08/2009
